manifest_version,snapshot_sha256,batch_id,candidate_id,input_sha256,weight
1,303e6b0efb7a94be636ce0b22de9454062029ef9193ef5e0442aee263227ecec,metadata-02,C0148,2b1b489d65285001f7c451ab2f95030472501fb2424b35af087c5b0506281c56,1
1,303e6b0efb7a94be636ce0b22de9454062029ef9193ef5e0442aee263227ecec,metadata-02,C0153,f991a05ff779969c5889809c2bdb553e7d5b361405fb457d6ed84e700a2d0339,1
1,303e6b0efb7a94be636ce0b22de9454062029ef9193ef5e0442aee263227ecec,metadata-02,C0160,3fdc48166362830746d4b0fe7e3043e5a9f59f47ec79dc00ab3feb4c58dcc584,1
1,303e6b0efb7a94be636ce0b22de9454062029ef9193ef5e0442aee263227ecec,metadata-02,C0172,b8d5cab99bfad915916b5bb55297be264cb51ce3855b000184b8487abc946c87,1
1,303e6b0efb7a94be636ce0b22de9454062029ef9193ef5e0442aee263227ecec,metadata-02,C0175,04faa5c62ee54458549026b774a80ecd2e8a916e727e142aaf349deefb1bad33,1
1,303e6b0efb7a94be636ce0b22de9454062029ef9193ef5e0442aee263227ecec,metadata-02,C0176,3812945d7360ec30b6e29a63b6ee2d12ecb1d041005e4cc14436eebc06bf06c5,1
1,303e6b0efb7a94be636ce0b22de9454062029ef9193ef5e0442aee263227ecec,metadata-02,C0206,4cbb522921e8ea5dfe0eabb2cf3c989cd0cf351ceb8fab1f4090d34c0f2e40bd,1
1,303e6b0efb7a94be636ce0b22de9454062029ef9193ef5e0442aee263227ecec,metadata-02,C0207,866374a09d3ed264ee9ad2a960f4ed0730aa18ad2e0405243b992de27d6ebfd6,1
1,303e6b0efb7a94be636ce0b22de9454062029ef9193ef5e0442aee263227ecec,metadata-03,C0017,f7d3ae110d165d18ae1eeee29874e2e9d077ff7f922f18e643b12a5f3792469f,7
1,303e6b0efb7a94be636ce0b22de9454062029ef9193ef5e0442aee263227ecec,metadata-03,C0022,d0e9b7c9d3113150f3b351a577029cfab9c50ca0f9aa23762d59c5b504f2e520,6
1,303e6b0efb7a94be636ce0b22de9454062029ef9193ef5e0442aee263227ecec,metadata-03,C0029,5838897a3d1c85f3bd278122e8eeda94f8685c1fea34bb8e8efe60106379fc55,1
1,303e6b0efb7a94be636ce0b22de9454062029ef9193ef5e0442aee263227ecec,metadata-03,C0035,8b5afc31206e1ec022c2cb81abb9c0dd4b8e3704b687f267cac389ce2086690e,1
1,303e6b0efb7a94be636ce0b22de9454062029ef9193ef5e0442aee263227ecec,metadata-03,C0045,cd692948e8af438aa3159809119b2bed5b908a325ab04ea1dc67f9db0fa2798f,1
1,303e6b0efb7a94be636ce0b22de9454062029ef9193ef5e0442aee263227ecec,metadata-03,C0049,c45428694aa8fcf8efc0f6c17c5e3954b62807d55a3c506268199d3c5e366b1d,1
1,303e6b0efb7a94be636ce0b22de9454062029ef9193ef5e0442aee263227ecec,metadata-03,C0053,c670b115468c4d089276d06e56223b23487c826bce4b6e920e0ebf6ba97b81da,1
1,303e6b0efb7a94be636ce0b22de9454062029ef9193ef5e0442aee263227ecec,metadata-03,C0061,057aac86e7dc383c11f804d558b9aff30c02b7411b0a8afe8bf78dc1deb2ad2c,3
1,303e6b0efb7a94be636ce0b22de9454062029ef9193ef5e0442aee263227ecec,metadata-03,C0094,1a6d5e692f39f35924362a7dd5ca18b0b399f5251d24771a24fb3dfb21690ac7,1
1,303e6b0efb7a94be636ce0b22de9454062029ef9193ef5e0442aee263227ecec,metadata-03,C0095,46fdb3ba902bb3c9a1c70452b4fd950f80258afa00a52aacae653df54a387edd,1
1,303e6b0efb7a94be636ce0b22de9454062029ef9193ef5e0442aee263227ecec,metadata-03,C0099,dd1a2070ac65188fe71abf66f60a5c5da92da0e8fdcf87425ecd8b784fc75a99,1
1,303e6b0efb7a94be636ce0b22de9454062029ef9193ef5e0442aee263227ecec,metadata-03,C0100,5b4dc77a0ce5452b3bd94adb8afc4c60910aace08019ae61ffde1b1fb6b57161,1
1,303e6b0efb7a94be636ce0b22de9454062029ef9193ef5e0442aee263227ecec,metadata-03,C0101,808317a3c53f4d518a364481e025fb17b6cfea441401840d815916e4f102d731,1
1,303e6b0efb7a94be636ce0b22de9454062029ef9193ef5e0442aee263227ecec,metadata-03,C0106,66c62b2dd2de364b6bc650759647a5723577fd560c3e963ff1aca0ed481c8eb5,1
1,303e6b0efb7a94be636ce0b22de9454062029ef9193ef5e0442aee263227ecec,metadata-03,C0107,50d8b501badbab055a0ccaf5f1c8e1489b589d98218c9dd4fd0dbdb0e18c25b7,4
1,303e6b0efb7a94be636ce0b22de9454062029ef9193ef5e0442aee263227ecec,metadata-03,C0122,bcd870bc186bf012f657163e0e7db28f08ce63d47074634818d20ed6f4877595,1
1,303e6b0efb7a94be636ce0b22de9454062029ef9193ef5e0442aee263227ecec,metadata-03,C0129,f0104c26f5bc53c61884e427e2566ff24ebbb324c6644884d48c1e04741db23f,1
1,303e6b0efb7a94be636ce0b22de9454062029ef9193ef5e0442aee263227ecec,metadata-03,C0133,406e7618df5760d8815ad7d1f2e37bc683d29c72ade8cf674656bdf80f33e20b,1
1,303e6b0efb7a94be636ce0b22de9454062029ef9193ef5e0442aee263227ecec,metadata-03,C0135,7c99e6cc9bcccfe1a3feb8f6f72f20cff5195fb4b7312b77af37d441f1f6bc97,1
1,303e6b0efb7a94be636ce0b22de9454062029ef9193ef5e0442aee263227ecec,metadata-03,C0136,e123d37de9bb0cb29a0e79e5d67bbd212e2f718b01c9c215e0e347b1285ee957,1
1,303e6b0efb7a94be636ce0b22de9454062029ef9193ef5e0442aee263227ecec,metadata-03,C0141,38b6769b2969682c18284f567df53f038a39de663cb3562f18d8fa89e6ebff65,3
1,303e6b0efb7a94be636ce0b22de9454062029ef9193ef5e0442aee263227ecec,metadata-03,C0142,e3b7c1638a6bfaf6f9497803f05c64ba09f51540171749e415bb021d1a0f937b,4
1,303e6b0efb7a94be636ce0b22de9454062029ef9193ef5e0442aee263227ecec,metadata-03,C0144,5145963e52826fab7f968167f39d5fa3bfda594b0be3aeeec7c2e1e45cccc1e2,1
1,303e6b0efb7a94be636ce0b22de9454062029ef9193ef5e0442aee263227ecec,metadata-03,C0149,10b3a39ec819ff31a33071d3a634e5c454573a8277c630fec413fed671410fe4,1
1,303e6b0efb7a94be636ce0b22de9454062029ef9193ef5e0442aee263227ecec,metadata-03,C0150,049adb661a149f8d3282aca01c63ab6eeef103f0b1a2a649e5fe9c5c53b8d9d5,1
1,303e6b0efb7a94be636ce0b22de9454062029ef9193ef5e0442aee263227ecec,metadata-03,C0156,feb8293d2c4802769de9e776b88fadba27c9791447bff0a03c350c6c19f8591b,1
1,303e6b0efb7a94be636ce0b22de9454062029ef9193ef5e0442aee263227ecec,metadata-03,C0158,38e84e77616a7aa136924b0fc3e4f85d7789e80747874ca3a43526dc21f4b38a,1
