candidate_id,cite_key,entry_type,key_author,authors,author_kinds,title,year,venue_field,venue,doi,url
C0050,meraccos2023MeraccosRandom,misc,meraccos,meraccos,personal,meraccos/random_car_racing_track_generator,2023,howpublished,GitHub repository,,https://github.com/meraccos/random_car_racing_track_generator
C0097,Mi2021HDMapGenHierarchical,inproceedings,Mi,Lu Mi; Hang Zhao; Charlie Nash; Xiaohan Jin; Jiyang Gao; Chen Sun; Cordelia Schmid; Nir Shavit; Yuning Chai; Dragomir Anguelov,personal; personal; personal; personal; personal; personal; personal; personal; personal; personal,HDMapGen: A Hierarchical Graph Generative Model of High Definition Maps,2021,booktitle,Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),10.1109/cvpr46437.2021.00421,https://openaccess.thecvf.com/content/CVPR2021/html/Mi_HDMapGen_A_Hierarchical_Graph_Generative_Model_of_High_Definition_Maps_CVPR_2021_paper.html
C0082,MIT2017MITRACECAR,misc,MIT,Massachusetts Institute of Technology,corporate,MIT RACECAR,2015,howpublished,MIT RACECAR project website,,https://mit-racecar.github.io/
C0039,Muhlmeier2002OptimizationDriving,inproceedings,Mühlmeier,Martin Mühlmeier; Norbert Müller,personal; personal,Optimization of the Driving Line on a Race Track,2002,booktitle,Motorsports Engineering Conference & Exhibition,10.4271/2002-01-3339,
C0152,Muktadir2023ProceduralGeneration,article,Muktadir,Golam Md Muktadir; Abdul Jawad; Ishaan Paranjape; Jim Whitehead; Aleksey Shepelev,personal;personal;personal;personal;personal,Procedural Generation of High-Definition Road Networks for Autonomous Vehicle Testing and Traffic Simulations,2023,journal,SAE International Journal of Connected and Automated Vehicles,10.4271/12-06-01-0007,https://saemobilus.sae.org/articles/procedural-generation-high-definition-road-networks-autonomous-vehicle-testing-traffic-simulations-12-06-01-0007
C0060,Muller2007PositionBased,article,Müller,Matthias Müller; Bruno Heidelberger; Marcus Hennix; John Ratcliff,personal; personal; personal; personal,Position Based Dynamics,2007,journal,Journal of Visual Communication and Image Representation,10.1016/j.jvcir.2007.01.005,
C0206,Njord2026TeamHandbook,misc,Njord,Njord - The Autonomous Ship Challenge,corporate,Team Handbook Njord 2026,2026,howpublished,Official competition handbook,,https://njord.gitbook.io/2026/
C0028,NVIDIA2020IsaacGym,misc,NVIDIA,NVIDIA Corporation,corporate,Isaac Gym,2020,howpublished,NVIDIA Developer,,https://developer.nvidia.com/isaac-gym
C0065,NVIDIANodateCUDAGraphs,misc,NVIDIA,NVIDIA Corporation,corporate,CUDA Graphs,,howpublished,CUDA Programming Guide,,https://docs.nvidia.com/cuda/cuda-programming-guide/04-special-topics/cuda-graphs.html
C0146,Nylnder2025SearchBased,inproceedings,Nylænder,Karoline Nylænder; Aitor Arrieta; Shaukat Ali; Paolo Arcaini,personal; personal; personal; personal,Search-based Generation of Waypoints for Triggering Self-Adaptations in Maritime Autonomous Vessels,2025,booktitle,Proceedings of the Genetic and Evolutionary Computation Conference,10.1145/3712256.3726399,
C0180,OKelly2020F1TENTHOpen,inproceedings,OKelly,Matthew O'Kelly; Hongrui Zheng; Dhruv Karthik; Rahul Mangharam,personal; personal; personal; personal,F1TENTH: An Open-source Evaluation Environment for Continuous Control and Reinforcement Learning,2020,booktitle,Proceedings of the NeurIPS 2019 Competition and Demonstration Track,,https://proceedings.mlr.press/v123/o-kelly20a.html
C0203,OpenRoboticsNodateSDFWorlds,misc,OpenRobotics,Open Robotics,corporate,SDF worlds,,howpublished,Gazebo Harmonic Documentation,,https://gazebosim.org/docs/harmonic/sdf_worlds/
C0210,OpenRoboticsNodateVRXAutomated,misc,OpenRobotics,Open Robotics,corporate,VRX Automated Evaluation,,howpublished,GitHub,,https://github.com/osrf/vrx-docker
